Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            239   E6 0009E0C0 NtAlpcDisconnectPort
            240   E7 0009E0E0 NtAlpcImpersonateClientContainerOfPort
            241   E8 0009E100 NtAlpcImpersonateClientOfPort
            242   E9 0009E120 NtAlpcOpenSenderProcess
            243   EA 0009E140 NtAlpcOpenSenderThread
            244   EB 0009E160 NtAlpcQueryInformation
            245   EC 0009E180 NtAlpcQueryInformationMessage
            246   ED 0009E1A0 NtAlpcRevokeSecurityContext
            247   EE 0009E1C0 NtAlpcSendWaitReceivePort
            248   EF 0009E1E0 NtAlpcSetInformation
            249   F0 0009D9D0 NtApphelpCacheControl
            250   F1 0009E200 NtAreMappedFilesTheSame
            251   F2 0009E220 NtAssignProcessToJobObject
            252   F3 0009E240 NtAssociateWaitCompletionPacket
            253   F4 0009E260 NtCallEnclave
            254   F5 0009D0F0 NtCallbackReturn
            255   F6 0009DBE0 NtCancelIoFile
            256   F7 0009E280 NtCancelIoFileEx
            257   F8 0009E2A0 NtCancelSynchronousIoFile
            258   F9 0009DC60 NtCancelTimer
            259   FA 0009E2C0 NtCancelTimer2
            260   FB 0009E2E0 NtCancelWaitCompletionPacket
            261   FC 0009D810 NtClearEvent
            262   FD 0009D230 NtClose
            263   FE 0009D7B0 NtCloseObjectAuditAlarm
            264   FF 0009E300 NtCommitComplete
            265  100 0009E320 NtCommitEnlistment
            266  101 0009E340 NtCommitRegistryTransaction
            267  102 0009E360 NtCommitTransaction
            268  103 0009E380 NtCompactKeys
            269  104 0009E3A0 NtCompareObjects
            270  105 0009E3C0 NtCompareSigningLevels
            271  106 0009E3E0 NtCompareTokens
            272  107 0009E400 NtCompleteConnectPort
            273  108 0009E420 NtCompressKey
            274  109 0009E440 NtConnectPort
            275  10A 0009D8B0 NtContinue
            276  10B 0009E460 NtContinueEx
            277  10C 0009E480 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
            278  10D 0009E4A0 NtCopyFileChunk
            279  10E 0009E4C0 NtCreateCrossVmEvent
            280  10F 0009E4E0 NtCreateCrossVmMutant
            281  110 0009E500 NtCreateDebugObject
            282  111 0009E520 NtCreateDirectoryObject
            283  112 0009E540 NtCreateDirectoryObjectEx
            284  113 0009E560 NtCreateEnclave
            285  114 0009E580 NtCreateEnlistment
            286  115 0009D950 NtCreateEvent
            287  116 0009E5A0 NtCreateEventPair
            288  117 0009DAF0 NtCreateFile
            289  118 0009E5C0 NtCreateIRTimer
            290  119 0009E5E0 NtCreateIoCompletion
